result_index,pid,caption,input_ids_path,attention_mask_path,qnn_output_path,dim,qnn_norm,torch_norm,cosine_raw,cosine_l2,l2_raw,l2_l2,mean_abs_raw,max_abs_raw,qnn_has_nan,qnn_has_inf,torch_has_nan,torch_has_inf
0,2000,"nữ đội mũ lưỡi trai màu hồng, mặc áo dài màu hồng với họa tiết ở phần chân áo dà",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00000_pid2000_02001_1_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00000_pid2000_02001_1_attention_mask.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/text_w8a8_learned_qat_v8_i32_f32mask/Result_0/output_0.raw,768,14.959821115491108,16.275058676610396,0.12987367808818817,0.12987366318702698,20.62601661682129,1.3191864490509033,0.5691552758216858,4.83784294128418,False,False,False,False
1,2000,"nữ buộc tóc ra đằng sau, đội mũ lưỡi trai màu xanh, mặc áo dài màu hồng có tay l",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00001_pid2000_02001_2_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00001_pid2000_02001_2_attention_mask.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/text_w8a8_learned_qat_v8_i32_f32mask/Result_1/output_0.raw,768,14.959821115491108,16.30757048792762,0.10072830319404602,0.10072830319404602,20.990144729614258,1.3410979509353638,0.5860201716423035,4.986303329467773,False,False,False,False
2,2001,"nữ tóc dài màu đen để xõa, mặc áo phông cổ tròn cộc tay màu đỏ, đeo khẩu trang m",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00002_pid2001_02002_1_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00002_pid2001_02002_1_attention_mask.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/text_w8a8_learned_qat_v8_i32_f32mask/Result_2/output_0.raw,768,14.959821115491108,17.06673511624637,0.05224005877971649,0.0522400438785553,22.099647521972656,1.376779317855835,0.619938313961029,4.458028793334961,False,False,False,False
3,2001,"nữc tóc dài, mặc áo phông cộc tay màu đỏ, trước ngực có họa tiết màu đen, mặc qu",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00003_pid2001_02002_2_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00003_pid2001_02002_2_attention_mask.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/text_w8a8_learned_qat_v8_i32_f32mask/Result_3/output_0.raw,768,14.959821115491108,16.76947959488479,0.05538557842373848,0.05538557842373848,21.845428466796875,1.3744921684265137,0.60532146692276,5.074525833129883,False,False,False,False
4,2002,"nữ tóc dài buộc phía sau, đeo khẩu trang màu trắng, mặc áo cộc tay cổ thuyền màu",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00004_pid2002_02003_1_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00004_pid2002_02003_1_attention_mask.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/text_w8a8_learned_qat_v8_i32_f32mask/Result_4/output_0.raw,768,14.959821115491108,16.739288574812697,0.09087232500314713,0.09087232500314713,21.412336349487305,1.3484270572662354,0.6007475852966309,4.042852401733398,False,False,False,False
5,2002,"nữ tóc buộc phía sau, đeo khẩu trang màu trắng, mặc áo cộc tay màu tím, mặc quần",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00005_pid2002_02003_2_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00005_pid2002_02003_2_attention_mask.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/text_w8a8_learned_qat_v8_i32_f32mask/Result_5/output_0.raw,768,14.94182877939928,17.22299987885526,0.06710731983184814,0.06710732728242874,22.030675888061523,1.3659377098083496,0.6270681023597717,3.9953863620758057,False,False,False,False
6,2003,"nam đeo khăn quàng cổ, mặc áo dài tay màu đen, mặc quần màu đen, đi giày trắng.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00006_pid2003_02004_1_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00006_pid2003_02004_1_attention_mask.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/text_w8a8_learned_qat_v8_i32_f32mask/Result_6/output_0.raw,768,16.404466767110616,16.88252230276726,0.23556964099407196,0.23556965589523315,20.582630157470703,1.236471176147461,0.5846686959266663,3.7551910877227783,False,False,False,False
7,2003,"nam đeo khăn choàng cổ, mặc áo đen dài tay, mặc quần bò màu xanh đậm, đi giày mà",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00007_pid2003_02004_2_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00007_pid2003_02004_2_attention_mask.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/text_w8a8_learned_qat_v8_i32_f32mask/Result_7/output_0.raw,768,15.834302759772932,16.953782609192633,0.20684495568275452,0.20684495568275452,20.666404724121094,1.2594883441925049,0.5768910050392151,4.276369094848633,False,False,False,False
8,2004,"nam đeo khẩu trang màu xanh, mặc áo sơ mi màu xanh ở trong, áo khoác ngoài màu đ",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00008_pid2004_02005_1_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00008_pid2004_02005_1_attention_mask.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/text_w8a8_learned_qat_v8_i32_f32mask/Result_8/output_0.raw,768,14.959821115491108,17.146425895686694,0.14923495054244995,0.14923495054244995,21.005630493164062,1.3044273853302002,0.5868445038795471,4.76556396484375,False,False,False,False
9,2004,"nam mặc áo khoác ngoài màu đen, áo sơ mi trong màu xanh da trời, mặc quần dài mà",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00009_pid2004_02005_2_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_f32mask_i32/raw/00009_pid2004_02005_2_attention_mask.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/text_w8a8_learned_qat_v8_i32_f32mask/Result_9/output_0.raw,768,14.959821115491108,16.299599472167507,0.17874601483345032,0.17874601483345032,20.05748176574707,1.2816036939620972,0.5498115420341492,4.572458267211914,False,False,False,False
