sample_index,pid,caption,num_tokens
0,-1,,64
1,-1,,64
2,-1,,64
3,-1,,64
4,-1,,64
5,-1,,64
6,-1,,64
7,-1,,61
8,-1,,64
9,-1,,64
10,-1,,63
11,-1,,64
12,-1,,38
13,-1,,48
14,-1,,43
15,-1,,35
16,-1,,64
17,-1,,64
18,-1,,64
19,-1,,61
20,-1,,64
21,-1,,60
22,-1,,64
23,-1,,64
24,-1,,47
25,-1,,44
26,-1,,48
27,-1,,33
28,-1,,64
29,-1,,61
30,-1,,61
31,-1,,39
32,-1,,57
33,-1,,47
34,-1,,50
35,-1,,54
36,-1,,64
37,-1,,61
38,-1,,55
39,-1,,64
40,-1,,64
41,-1,,64
42,-1,,64
43,-1,,64
44,-1,,64
45,-1,,60
46,-1,,64
47,-1,,64
48,-1,,64
49,-1,,46
50,-1,,64
51,-1,,64
52,-1,,59
53,-1,,64
54,-1,,64
55,-1,,52
56,-1,,59
57,-1,,56
58,-1,,64
59,-1,,61
60,-1,,51
61,-1,,43
62,-1,,52
63,-1,,52
64,-1,,49
65,-1,,53
66,-1,,64
67,-1,,64
68,-1,,64
69,-1,,58
70,-1,,64
71,-1,,64
72,-1,,55
73,-1,,61
74,-1,,64
75,-1,,64
76,-1,,48
77,-1,,43
78,-1,,58
79,-1,,61
80,-1,,64
81,-1,,47
82,-1,,58
83,-1,,39
84,-1,,64
85,-1,,64
86,-1,,64
87,-1,,64
88,-1,,60
89,-1,,37
90,-1,,61
91,-1,,42
92,-1,,64
93,-1,,64
94,-1,,55
95,-1,,41
96,-1,,64
97,-1,,64
98,-1,,64
99,-1,,54
100,-1,,64
101,-1,,64
102,-1,,64
103,-1,,64
104,-1,,58
105,-1,,44
106,-1,,64
107,-1,,43
108,-1,,46
109,-1,,64
110,-1,,41
111,-1,,55
112,-1,,64
113,-1,,64
114,-1,,64
115,-1,,64
116,-1,,64
117,-1,,48
118,-1,,64
119,-1,,61
120,-1,,64
121,-1,,50
122,-1,,57
123,-1,,51
124,-1,,38
125,-1,,32
126,-1,,43
127,-1,,35
128,-1,,60
129,-1,,54
130,-1,,64
131,-1,,63
132,-1,,64
133,-1,,49
134,-1,,55
135,-1,,52
136,-1,,64
137,-1,,54
138,-1,,64
139,-1,,54
140,-1,,62
141,-1,,44
142,-1,,58
143,-1,,64
144,-1,,64
145,-1,,64
146,-1,,64
147,-1,,64
148,-1,,55
149,-1,,63
150,-1,,43
151,-1,,55
152,-1,,64
153,-1,,59
154,-1,,64
155,-1,,64
156,-1,,64
157,-1,,64
158,-1,,64
159,-1,,64
160,-1,,64
161,-1,,60
162,-1,,64
163,-1,,64
164,-1,,60
165,-1,,57
166,-1,,64
167,-1,,64
168,-1,,64
169,-1,,64
170,-1,,64
171,-1,,64
172,-1,,64
173,-1,,64
174,-1,,64
175,-1,,64
176,-1,,53
177,-1,,36
178,-1,,61
179,-1,,33
180,-1,,64
181,-1,,64
182,-1,,64
183,-1,,64
184,-1,,50
185,-1,,47
186,-1,,62
187,-1,,54
188,-1,,64
189,-1,,64
190,-1,,64
191,-1,,64
192,-1,,64
193,-1,,64
194,-1,,64
195,-1,,44
196,-1,,64
197,-1,,64
198,-1,,64
199,-1,,64
200,-1,,54
201,-1,,58
202,-1,,64
203,-1,,49
204,-1,,51
205,-1,,64
206,-1,,49
207,-1,,46
208,-1,,64
209,-1,,49
210,-1,,64
211,-1,,64
212,-1,,64
213,-1,,64
214,-1,,64
215,-1,,64
216,-1,,40
217,-1,,34
218,-1,,45
219,-1,,51
220,-1,,47
221,-1,,64
222,-1,,64
223,-1,,64
224,-1,,39
225,-1,,39
226,-1,,49
227,-1,,51
228,-1,,64
229,-1,,64
230,-1,,64
231,-1,,64
232,-1,,58
233,-1,,56
234,-1,,59
235,-1,,63
236,-1,,45
237,-1,,63
238,-1,,35
239,-1,,48
240,-1,,54
241,-1,,59
242,-1,,59
243,-1,,64
244,-1,,64
245,-1,,64
246,-1,,64
247,-1,,64
248,-1,,64
249,-1,,51
250,-1,,64
251,-1,,64
252,-1,,57
253,-1,,59
254,-1,,64
255,-1,,58
256,-1,,40
257,-1,,28
258,-1,,48
259,-1,,50
260,-1,,60
261,-1,,64
262,-1,,57
263,-1,,64
264,-1,,53
265,-1,,44
266,-1,,39
267,-1,,42
268,-1,,64
269,-1,,64
270,-1,,64
271,-1,,64
272,-1,,64
273,-1,,62
274,-1,,61
275,-1,,64
276,-1,,64
277,-1,,64
278,-1,,64
279,-1,,53
280,-1,,37
281,-1,,43
282,-1,,64
283,-1,,40
284,-1,,63
285,-1,,63
286,-1,,60
287,-1,,51
288,-1,,64
289,-1,,56
290,-1,,64
291,-1,,62
292,-1,,60
293,-1,,64
294,-1,,64
295,-1,,64
296,-1,,42
297,-1,,34
298,-1,,25
299,-1,,31
300,-1,,64
301,-1,,64
302,-1,,64
303,-1,,64
304,-1,,50
305,-1,,63
306,-1,,49
307,-1,,30
308,-1,,64
309,-1,,60
310,-1,,64
311,-1,,64
312,-1,,64
313,-1,,60
314,-1,,64
315,-1,,63
316,-1,,64
317,-1,,64
318,-1,,64
319,-1,,64
320,-1,,60
321,-1,,52
322,-1,,64
323,-1,,61
324,-1,,64
325,-1,,64
326,-1,,64
327,-1,,61
328,-1,,64
329,-1,,64
330,-1,,64
331,-1,,64
332,-1,,64
333,-1,,64
334,-1,,64
335,-1,,64
336,-1,,38
337,-1,,46
338,-1,,48
339,-1,,55
340,-1,,64
341,-1,,47
342,-1,,62
343,-1,,61
344,-1,,64
345,-1,,64
346,-1,,64
347,-1,,64
348,-1,,63
349,-1,,64
350,-1,,64
351,-1,,60
352,-1,,59
353,-1,,61
354,-1,,62
355,-1,,64
356,-1,,64
357,-1,,56
358,-1,,64
359,-1,,64
360,-1,,40
361,-1,,56
362,-1,,55
363,-1,,62
364,-1,,64
365,-1,,64
366,-1,,64
367,-1,,64
368,-1,,43
369,-1,,55
370,-1,,56
371,-1,,64
372,-1,,64
373,-1,,64
374,-1,,57
375,-1,,64
376,-1,,64
377,-1,,64
378,-1,,64
379,-1,,64
380,-1,,56
381,-1,,57
382,-1,,54
383,-1,,44
384,-1,,60
385,-1,,64
386,-1,,62
387,-1,,56
388,-1,,64
389,-1,,61
390,-1,,64
391,-1,,64
392,-1,,57
393,-1,,64
394,-1,,64
395,-1,,64
396,-1,,60
397,-1,,50
398,-1,,64
399,-1,,64
400,-1,,64
401,-1,,64
402,-1,,64
403,-1,,64
404,-1,,64
405,-1,,50
406,-1,,64
407,-1,,64
408,-1,,64
409,-1,,64
410,-1,,64
411,-1,,64
412,-1,,27
413,-1,,31
414,-1,,28
415,-1,,38
416,-1,,62
417,-1,,42
418,-1,,55
419,-1,,42
420,-1,,32
421,-1,,35
422,-1,,48
423,-1,,62
424,-1,,61
425,-1,,43
426,-1,,64
427,-1,,64
428,-1,,62
429,-1,,64
430,-1,,64
431,-1,,64
432,-1,,64
433,-1,,64
434,-1,,64
435,-1,,64
436,-1,,46
437,-1,,64
438,-1,,39
439,-1,,64
440,-1,,50
441,-1,,64
442,-1,,63
443,-1,,64
444,-1,,51
445,-1,,64
446,-1,,63
447,-1,,64
448,-1,,35
449,-1,,64
450,-1,,46
451,-1,,64
452,-1,,43
453,-1,,63
454,-1,,51
455,-1,,63
456,-1,,42
457,-1,,64
458,-1,,36
459,-1,,64
460,-1,,46
461,-1,,60
462,-1,,42
463,-1,,60
464,-1,,45
465,-1,,64
466,-1,,61
467,-1,,64
468,-1,,43
469,-1,,60
470,-1,,45
471,-1,,60
472,-1,,53
473,-1,,64
474,-1,,45
475,-1,,64
476,-1,,51
477,-1,,64
478,-1,,44
479,-1,,64
480,-1,,56
481,-1,,64
482,-1,,54
483,-1,,64
484,-1,,35
485,-1,,64
486,-1,,51
487,-1,,64
488,-1,,45
489,-1,,64
490,-1,,46
491,-1,,64
492,-1,,41
493,-1,,64
494,-1,,40
495,-1,,64
496,-1,,56
497,-1,,64
498,-1,,55
499,-1,,64
500,-1,,42
501,-1,,58
502,-1,,45
503,-1,,58
504,-1,,49
505,-1,,64
506,-1,,53
507,-1,,64
508,-1,,40
509,-1,,64
510,-1,,50
511,-1,,64
512,-1,,42
513,-1,,64
514,-1,,51
515,-1,,64
516,-1,,56
517,-1,,55
518,-1,,63
519,-1,,64
520,-1,,64
521,-1,,63
522,-1,,61
523,-1,,48
524,-1,,45
525,-1,,64
526,-1,,64
527,-1,,64
528,-1,,64
529,-1,,64
530,-1,,64
531,-1,,64
532,-1,,61
533,-1,,64
534,-1,,58
535,-1,,64
536,-1,,64
537,-1,,64
538,-1,,60
539,-1,,64
540,-1,,54
541,-1,,64
542,-1,,56
543,-1,,64
544,-1,,45
545,-1,,63
546,-1,,36
547,-1,,63
548,-1,,53
549,-1,,64
550,-1,,64
551,-1,,64
552,-1,,51
553,-1,,64
554,-1,,63
555,-1,,64
556,-1,,37
557,-1,,57
558,-1,,52
559,-1,,57
560,-1,,45
561,-1,,64
562,-1,,52
563,-1,,64
564,-1,,55
565,-1,,64
566,-1,,55
567,-1,,64
568,-1,,43
569,-1,,64
570,-1,,59
571,-1,,64
572,-1,,37
573,-1,,64
574,-1,,45
575,-1,,64
576,-1,,44
577,-1,,64
578,-1,,53
579,-1,,64
580,-1,,49
581,-1,,64
582,-1,,47
583,-1,,64
584,-1,,49
585,-1,,64
586,-1,,56
587,-1,,64
588,-1,,64
589,-1,,64
590,-1,,64
591,-1,,64
592,-1,,49
593,-1,,64
594,-1,,49
595,-1,,64
596,-1,,54
597,-1,,64
598,-1,,51
599,-1,,64
600,-1,,52
601,-1,,59
602,-1,,49
603,-1,,59
604,-1,,52
605,-1,,64
606,-1,,55
607,-1,,64
608,-1,,45
609,-1,,64
610,-1,,52
611,-1,,64
612,-1,,51
613,-1,,64
614,-1,,52
615,-1,,64
616,-1,,64
617,-1,,64
618,-1,,64
619,-1,,64
620,-1,,56
621,-1,,64
622,-1,,55
623,-1,,64
624,-1,,64
625,-1,,64
626,-1,,64
627,-1,,64
628,-1,,62
629,-1,,64
630,-1,,56
631,-1,,64
632,-1,,48
633,-1,,39
634,-1,,48
635,-1,,44
636,-1,,52
637,-1,,37
638,-1,,64
639,-1,,54
640,-1,,51
641,-1,,46
642,-1,,42
643,-1,,39
644,-1,,64
645,-1,,49
646,-1,,56
647,-1,,52
648,-1,,64
649,-1,,58
650,-1,,64
651,-1,,56
652,-1,,64
653,-1,,61
654,-1,,64
655,-1,,58
656,-1,,57
657,-1,,41
658,-1,,64
659,-1,,58
660,-1,,64
661,-1,,51
662,-1,,38
663,-1,,35
664,-1,,61
665,-1,,46
666,-1,,62
667,-1,,54
668,-1,,64
669,-1,,42
670,-1,,64
671,-1,,44
672,-1,,43
673,-1,,43
674,-1,,51
675,-1,,46
676,-1,,52
677,-1,,39
678,-1,,49
679,-1,,49
680,-1,,44
681,-1,,47
682,-1,,46
683,-1,,45
684,-1,,60
685,-1,,64
686,-1,,50
687,-1,,52
688,-1,,41
689,-1,,41
690,-1,,64
691,-1,,55
692,-1,,52
693,-1,,39
694,-1,,58
695,-1,,50
696,-1,,64
697,-1,,45
698,-1,,64
699,-1,,54
700,-1,,55
701,-1,,41
702,-1,,55
703,-1,,48
704,-1,,61
705,-1,,47
706,-1,,62
707,-1,,50
708,-1,,44
709,-1,,33
710,-1,,37
711,-1,,31
712,-1,,64
713,-1,,50
714,-1,,62
715,-1,,62
716,-1,,57
717,-1,,64
718,-1,,62
719,-1,,52
720,-1,,61
721,-1,,53
722,-1,,62
723,-1,,50
724,-1,,43
725,-1,,52
726,-1,,59
727,-1,,50
728,-1,,34
729,-1,,39
730,-1,,55
731,-1,,42
732,-1,,64
733,-1,,58
734,-1,,64
735,-1,,62
736,-1,,64
737,-1,,64
738,-1,,59
739,-1,,64
740,-1,,47
741,-1,,63
742,-1,,55
743,-1,,61
744,-1,,47
745,-1,,53
746,-1,,46
747,-1,,59
748,-1,,54
749,-1,,63
750,-1,,61
751,-1,,34
752,-1,,45
753,-1,,44
754,-1,,33
755,-1,,42
756,-1,,26
757,-1,,37
758,-1,,35
759,-1,,41
760,-1,,51
761,-1,,60
762,-1,,51
763,-1,,51
764,-1,,45
765,-1,,45
766,-1,,62
767,-1,,53
768,-1,,46
769,-1,,63
770,-1,,49
771,-1,,59
772,-1,,50
773,-1,,39
774,-1,,57
775,-1,,46
776,-1,,51
777,-1,,59
778,-1,,58
779,-1,,64
780,-1,,27
781,-1,,48
782,-1,,42
783,-1,,38
784,-1,,46
785,-1,,52
786,-1,,52
787,-1,,56
788,-1,,47
789,-1,,49
790,-1,,64
791,-1,,53
792,-1,,58
793,-1,,64
794,-1,,64
795,-1,,64
796,-1,,55
797,-1,,49
798,-1,,50
799,-1,,51
800,-1,,44
801,-1,,51
802,-1,,46
803,-1,,64
804,-1,,35
805,-1,,41
806,-1,,52
807,-1,,52
808,-1,,43
809,-1,,58
810,-1,,39
811,-1,,60
812,-1,,42
813,-1,,44
814,-1,,50
815,-1,,46
816,-1,,56
817,-1,,64
818,-1,,51
819,-1,,64
820,-1,,34
821,-1,,40
