sample_index,pid,split,dataset_file_path,caption,input_ids_raw,attention_mask_raw,num_tokens
0,2000,test,TamChuc_01/02001_1.jpg,"nữ đội mũ lưỡi trai màu hồng, mặc áo dài màu hồng với họa tiết ở phần chân áo dài, mặc quần bò màu đen, đi giày màu đen, đeo túi chéo vai màu hồng ở bên hông phải.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00000_pid2000_02001_1_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00000_pid2000_02001_1_attention_mask.raw,64
1,2000,test,TamChuc_01/02001_2.jpg,"nữ buộc tóc ra đằng sau, đội mũ lưỡi trai màu xanh, mặc áo dài màu hồng có tay lỡ, mặc quần dài màu đen, đi giày màu đen viền trắng, đeo túi chéo vai sang hông phải.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00001_pid2000_02001_2_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00001_pid2000_02001_2_attention_mask.raw,64
2,2001,test,TamChuc_01/02002_1.jpg,"nữ tóc dài màu đen để xõa, mặc áo phông cổ tròn cộc tay màu đỏ, đeo khẩu trang màu xanh da trời, mặc quần bò màu xanh sẫm, đi giầy màu trắng, trước ngực áo có họa tiết màu đen, tay phải co ngang ngực.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00002_pid2001_02002_1_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00002_pid2001_02002_1_attention_mask.raw,64
3,2001,test,TamChuc_01/02002_2.jpg,"nữc tóc dài, mặc áo phông cộc tay màu đỏ, trước ngực có họa tiết màu đen, mặc quần bò dài màu xanh đen, đi giầy thể thao màu trắng, tay trái đưa lên vuốt tóc.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00003_pid2001_02002_2_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00003_pid2001_02002_2_attention_mask.raw,64
4,2002,test,TamChuc_01/02003_1.jpg,"nữ tóc dài buộc phía sau, đeo khẩu trang màu trắng, mặc áo cộc tay cổ thuyền màu tím, tay trí đeo đồng hồ màu vàng, đeo túi đỏ bên vài trái và hông trái, mặc quần dài màu đen ống rộng.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00004_pid2002_02003_1_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00004_pid2002_02003_1_attention_mask.raw,64
5,2002,test,TamChuc_01/02003_2.jpg,"nữ tóc buộc phía sau, đeo khẩu trang màu trắng, mặc áo cộc tay màu tím, mặc quần dài màu đen, đeo túi bên vài trái màu đỏ.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00005_pid2002_02003_2_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00005_pid2002_02003_2_attention_mask.raw,63
6,2003,test,TamChuc_01/02004_1.jpg,"nam đeo khăn quàng cổ, mặc áo dài tay màu đen, mặc quần màu đen, đi giày trắng.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00006_pid2003_02004_1_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00006_pid2003_02004_1_attention_mask.raw,38
7,2003,test,TamChuc_01/02004_2.jpg,"nam đeo khăn choàng cổ, mặc áo đen dài tay, mặc quần bò màu xanh đậm, đi giày màu trắng.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00007_pid2003_02004_2_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00007_pid2003_02004_2_attention_mask.raw,43
8,2004,test,TamChuc_01/02005_1.jpg,"nam đeo khẩu trang màu xanh, mặc áo sơ mi màu xanh ở trong, áo khoác ngoài màu đen, để phanh ngực, mặc quần dài màu đen, đi giày màu đen, tay phải xách túi nilon.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00008_pid2004_02005_1_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00008_pid2004_02005_1_attention_mask.raw,64
9,2004,test,TamChuc_01/02005_2.jpg,"nam mặc áo khoác ngoài màu đen, áo sơ mi trong màu xanh da trời, mặc quần dài màu đen, đi giày màu đen, tay trái xách theo túi nilon màu đỏ.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00009_pid2004_02005_2_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10/raw/00009_pid2004_02005_2_attention_mask.raw,64
