sample_index,pid,split,dataset_file_path,caption,input_ids_raw,attention_mask_raw,num_tokens
0,111,train,HoGuom_00/00112_00002095.jpg,"cô gái mặc váy hồng, đi giày thể thao, túi xách màu đen, tóc nhuộm vàng dài qua vai.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00000_pid111_00112_00002095_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00000_pid111_00112_00002095_attention_mask.raw,39
1,178,train,HoGuom_00/00179_00004675.jpg,"nữ mặc váy màu vàng, đi dép xăng đan, mặc áo phông trắng.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00001_pid178_00179_00004675_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00001_pid178_00179_00004675_attention_mask.raw,30
2,1880,train,DHGTVT_00/01881_00003620.jpg,"nam tóc ngắn màu đen, mặc áo phông cổ tròn cộc tay màu đen, mặc quần bò dài sáng màu đi dép hai quai màu đen, sau lưng đeo ba lô.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00002_pid1880_01881_00003620_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00002_pid1880_01881_00003620_attention_mask.raw,62
3,21,train,TEST_DATA/Person22.2/output_2.jpg,"Một nữ thanh niên tóc ngắn chạm vai, tóc mái dài rẽ ngôi, mặc một chiếc áo khoác màu đông có màu đen từ ngực đến cổ áo và tay áo, màu trắng ở phần thân áo, màu đỏ ở phần bụng dưới của áo, mặc quần ống côn màu xanh rêu dài trùm mắt cá chân, đi giày da cao gót có đế to.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00003_pid21_output_2_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00003_pid21_output_2_attention_mask.raw,64
4,58,train,TRAINNING_DATA/Person59/output_6.jpg,"Một cậu thanh niên mặc chiếc áo phông cộc tay màu đen, cổ tròn, cùng chiếc quần đùi màu trắng có viền kẻ đỏ ở gấu quần, chân đi đôi giày thể thao màu đen.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00004_pid58_output_6_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00004_pid58_output_6_attention_mask.raw,64
5,937,train,HoGuom_01/00938_00000015.jpg,"nữ tóc dài làm xoăn để xõa, đeo khẩu trang màu xanh da trời để phía dưới cằm, mặc áo cọc tay màu xanh thẫm có chấm màu trắng, mặc quần dài màu đen, đang ngồi co gối vuông góc với đùi, hai chân đan chéo nhau.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00005_pid937_00938_00000015_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00005_pid937_00938_00000015_attention_mask.raw,64
6,445,train,HoGuom_00/00446_00015230.jpg,"Bé trai tóc đen ngắn, mặc áo màu xanh tím than, quần đùi màu xám.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00006_pid445_00446_00015230_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00006_pid445_00446_00015230_attention_mask.raw,30
7,311,train,HoGuom_00/00312_00010225.jpg,"Cụ già tóc trắng, mặc quần áo hoa màu tím.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00007_pid311_00312_00010225_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00007_pid311_00312_00010225_attention_mask.raw,21
8,1737,train,DHHN_HVBCVT_00/01738_00010380.jpg,"Một nam thanh niên có mái tóc màu đen, mặc áo khoác màu đen, mặc quần màu ghi, đi giày thể thao màu xám.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00008_pid1737_01738_00010380_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00008_pid1737_01738_00010380_attention_mask.raw,49
9,1773,train,DHHN_HVBCVT_00/01774_00001410.jpg,"Một nam sinh viên có mái tóc màu đen, đeo khẩu trang màu xanh, mặc áo khoác màu trắng có vai với tay áo màu đỏ, mặc quần màu đen, đi giày màu trắng.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00009_pid1773_01774_00001410_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00009_pid1773_01774_00001410_attention_mask.raw,64
10,186,train,HoGuom_00/00187_00004565.jpg,"Cậu bé đi dép lê xanh, mặc áo đen, quần ngố màu ghi.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00010_pid186_00187_00004565_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00010_pid186_00187_00004565_attention_mask.raw,25
11,429,train,HoGuom_00/00430_00014655.jpg,"Bạn trai tóc ngắn màu đen, mặc áo phông trắng, quần sooc màu đen.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00011_pid429_00430_00014655_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_train_4000/raw/00011_pid429_00430_00014655_attention_mask.raw,30
