sample_index,pid,split,dataset_file_path,image_path,raw_path,original_width,original_height
0,111,train,HoGuom_00/00112_00002095.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00112_00002095.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00000_pid111_HoGuom_00_00112_00002095.raw,79,186
1,178,train,HoGuom_00/00179_00004675.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00179_00004675.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00001_pid178_HoGuom_00_00179_00004675.raw,308,713
2,1880,train,DHGTVT_00/01881_00003620.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/DHGTVT_00/01881_00003620.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00002_pid1880_DHGTVT_00_01881_00003620.raw,100,281
3,21,train,TEST_DATA/Person22.2/output_2.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/TEST_DATA/Person22.2/output_2.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00003_pid21_TEST_DATA_Person22.2_output_2.raw,104,210
4,58,train,TRAINNING_DATA/Person59/output_6.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/TRAINNING_DATA/Person59/output_6.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00004_pid58_TRAINNING_DATA_Person59_output_6.raw,167,347
5,937,train,HoGuom_01/00938_00000015.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_01/00938_00000015.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00005_pid937_HoGuom_01_00938_00000015.raw,72,178
6,445,train,HoGuom_00/00446_00015230.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00446_00015230.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00006_pid445_HoGuom_00_00446_00015230.raw,181,441
7,311,train,HoGuom_00/00312_00010225.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00312_00010225.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00007_pid311_HoGuom_00_00312_00010225.raw,196,488
8,1737,train,DHHN_HVBCVT_00/01738_00010380.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/DHHN_HVBCVT_00/01738_00010380.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00008_pid1737_DHHN_HVBCVT_00_01738_00010380.raw,188,496
9,1773,train,DHHN_HVBCVT_00/01774_00001410.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/DHHN_HVBCVT_00/01774_00001410.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00009_pid1773_DHHN_HVBCVT_00_01774_00001410.raw,83,269
10,186,train,HoGuom_00/00187_00004565.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00187_00004565.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00010_pid186_HoGuom_00_00187_00004565.raw,148,475
11,429,train,HoGuom_00/00430_00014655.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00430_00014655.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00011_pid429_HoGuom_00_00430_00014655.raw,102,287
12,469,train,HoGuom_00/00470_00016555.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00470_00016555.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00012_pid469_HoGuom_00_00470_00016555.raw,224,465
13,110,train,HoGuom_00/00111_00001855.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00111_00001855.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00013_pid110_HoGuom_00_00111_00001855.raw,76,196
14,589,train,HoGuom_00/00590_00006235.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00590_00006235.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00014_pid589_HoGuom_00_00590_00006235.raw,247,680
15,1204,train,HoGuom_01/01205_00002925.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_01/01205_00002925.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00015_pid1204_HoGuom_01_01205_00002925.raw,220,618
16,793,train,HoGuom_01/00794_00002100.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_01/00794_00002100.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00016_pid793_HoGuom_01_00794_00002100.raw,136,357
17,159,train,HoGuom_00/00160_00003945.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00160_00003945.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00017_pid159_HoGuom_00_00160_00003945.raw,114,357
18,1771,train,DHHN_HVBCVT_00/01772_00001140.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/DHHN_HVBCVT_00/01772_00001140.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00018_pid1771_DHHN_HVBCVT_00_01772_00001140.raw,75,179
19,449,train,HoGuom_00/00450_00015365.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00450_00015365.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00019_pid449_HoGuom_00_00450_00015365.raw,174,544
20,176,train,HoGuom_00/00177_00004520.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00177_00004520.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00020_pid176_HoGuom_00_00177_00004520.raw,177,432
21,579,train,HoGuom_00/00580_00005465.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00580_00005465.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00021_pid579_HoGuom_00_00580_00005465.raw,107,327
22,810,train,HoGuom_01/00811_00002580.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_01/00811_00002580.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00022_pid810_HoGuom_01_00811_00002580.raw,101,203
23,1947,train,DHGTVT_00/01948_00011460.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/DHGTVT_00/01948_00011460.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00023_pid1947_DHGTVT_00_01948_00011460.raw,71,203
24,731,train,HoGuom_00/00732_00012190.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00732_00012190.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00024_pid731_HoGuom_00_00732_00012190.raw,205,459
25,1779,train,DHHN_HVBCVT_00/01780_00001395.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/DHHN_HVBCVT_00/01780_00001395.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00025_pid1779_DHHN_HVBCVT_00_01780_00001395.raw,221,633
26,1317,train,HoGuom_01/01318_00008370.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_01/01318_00008370.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00026_pid1317_HoGuom_01_01318_00008370.raw,160,397
27,1264,train,HoGuom_01/01265_00008700.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_01/01265_00008700.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00027_pid1264_HoGuom_01_01265_00008700.raw,149,263
28,546,train,HoGuom_00/00547_00003955.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00547_00003955.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00028_pid546_HoGuom_00_00547_00003955.raw,171,265
29,595,train,HoGuom_00/00596_00006220.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00596_00006220.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00029_pid595_HoGuom_00_00596_00006220.raw,106,255
30,1666,train,DHHN_HVBCVT_00/01667_00047640.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/DHHN_HVBCVT_00/01667_00047640.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00030_pid1666_DHHN_HVBCVT_00_01667_00047640.raw,106,206
31,738,train,HoGuom_00/00739_00012340.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00739_00012340.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00031_pid738_HoGuom_00_00739_00012340.raw,155,480
32,125,train,HoGuom_00/00126_00002260.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00126_00002260.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00032_pid125_HoGuom_00_00126_00002260.raw,288,602
33,27,train,TRAINNING_DATA/Person28/output_6.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/TRAINNING_DATA/Person28/output_6.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00033_pid27_TRAINNING_DATA_Person28_output_6.raw,167,292
34,864,train,HoGuom_01/00865_00010650.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_01/00865_00010650.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00034_pid864_HoGuom_01_00865_00010650.raw,85,231
35,154,train,HoGuom_00/00155_00003525.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00155_00003525.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00035_pid154_HoGuom_00_00155_00003525.raw,274,291
36,1045,train,HoGuom_01/01046_00000360.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_01/01046_00000360.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00036_pid1045_HoGuom_01_01046_00000360.raw,100,267
37,49,train,TEST_DATA/Person50.2/output_2.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/TEST_DATA/Person50.2/output_2.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00037_pid49_TEST_DATA_Person50.2_output_2.raw,53,188
38,436,train,HoGuom_00/00437_00014820.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_00/00437_00014820.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00038_pid436_HoGuom_00_00437_00014820.raw,88,244
39,1862,train,DHGTVT_00/01863_00003080.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/DHGTVT_00/01863_00003080.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00039_pid1862_DHGTVT_00_01863_00003080.raw,97,193
40,1368,train,HoGuom_01/01369_00006270.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/VN3K/imgs/HoGuom_01/01369_00006270.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_train_calib_500/raw/00040_pid1368_HoGuom_01_01369_00006270.raw,148,411
